"~id","~labels","genero_nombre","nombre","isla_id","descripcion","createdAt","anchor_juego_id","precio","plataformas","estudio_id","juego_id","rating","titulo","isla_anchor","fecha_str","fecha","tiempo_medio_min_por_sesion","act_id","servidor_id","moneda_cantidad","sesion_ix","version_id","nivel_cuenta"
"4:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:0","Géneros","FPS","FPS",,,,,,,,,,,,,,,,,,,,
"4:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:1","Géneros","Action","Action",,,,,,,,,,,,,,,,,,,,
"4:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:2","Géneros","Tactical","Tactical",,,,,,,,,,,,,,,,,,,,
"4:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:3","Géneros","Strategy","Strategy",,,,,,,,,,,,,,,,,,,,
"4:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:4","Géneros","Combat","Combat",,,,,,,,,,,,,,,,,,,,
"4:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:5","Géneros","Survival","Survival",,,,,,,,,,,,,,,,,,,,
"4:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:6","Géneros","Shooter","Shooter",,,,,,,,,,,,,,,,,,,,
"4:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:7","Géneros","Open World","Open World",,,,,,,,,,,,,,,,,,,,
"4:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:8","Géneros","Crafting","Crafting",,,,,,,,,,,,,,,,,,,,
"4:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:9","Géneros","RPG","RPG",,,,,,,,,,,,,,,,,,,,
"4:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:10","Géneros","Sandbox","Sandbox",,,,,,,,,,,,,,,,,,,,
"4:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:11","Géneros","2D","2D",,,,,,,,,,,,,,,,,,,,
"4:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:12","Géneros","Souls-like","Souls-like",,,,,,,,,,,,,,,,,,,,
"4:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:13","Géneros","Fantasy","Fantasy",,,,,,,,,,,,,,,,,,,,
"4:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:14","Géneros","Building","Building",,,,,,,,,,,,,,,,,,,,
"4:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:15","Géneros","Platformer","Platformer",,,,,,,,,,,,,,,,,,,,
"4:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:16","Géneros","War","War",,,,,,,,,,,,,,,,,,,,
"4:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:17","Géneros","Horror","Horror",,,,,,,,,,,,,,,,,,,,
"4:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:18","Géneros","Simulation","Simulation",,,,,,,,,,,,,,,,,,,,
"4:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:19","Géneros","Adventure","Adventure",,,,,,,,,,,,,,,,,,,,
"4:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:20","Géneros","Anime","Anime",,,,,,,,,,,,,,,,,,,,
"4:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:21","Géneros","Puzzle","Puzzle",,,,,,,,,,,,,,,,,,,,
"4:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:22","Géneros","Cute","Cute",,,,,,,,,,,,,,,,,,,,
"4:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:23","Géneros","Management","Management",,,,,,,,,,,,,,,,,,,,
"4:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:28","Isla",,"Microjuego Isla 2","Isla 2","Subgrafo de Microjuego","2025-09-20T17:44:21.296000000Z","J_MICROJUEGO",,,,,,,,,,,,,,,,
"4:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:88","Juegos",,,,,,,0,"win, linux","E_VALVE","J_COUNTER_STRIKE_2",3.2,"Counter-Strike 2",,,,,,,,,,
"4:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:89","Juegos",,,,,,,0,"win, mac, linux","E_VALVE","J_DOTA_2",3.71,"Dota 2",,,,,,,,,,
"4:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:90","Juegos",,,,,,,0,"win","E_PUBG_CORPORATION","J_PUBG_BATTLEGROUNDS",3.1,"PUBG: BATTLEGROUNDS",,,,,,,,,,
"4:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:91","Juegos",,,,,,,0,"win, linux","E_VALVE","J_TEAM_FORTRESS_2",4.3,"Team Fortress 2",,,,,,,,,,
"4:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:92","Juegos",,,,,,,14.99,"win","E_POCKETPAIR","J_PALWORLD",3.86,"Palworld",,,,,,,,,,
"4:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:93","Juegos",,,,,,,0,"win","E_RESPAWN","J_APEX_LEGENDSTM",3.5,"Apex Legends™",,,,,,,,,,
"4:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:94","Juegos",,,,,,,5.79,"win, mac, linux","E_RE_LOGIC","J_TERRARIA",4.2,"Terraria",,,,,,,,,,
"4:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:95","Juegos",,,,,,,59.99,"win","E_GAME_SCIENCE","J_BLACK_MYTH_WUKONG",3.79,"Black Myth: Wukong",,,,,,,,,,
"4:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:96","Juegos",,,,,,,0,"win","E_INFINITY_WARD","J_CALL_OF_DUTY_R_WAR",2.88,"Call of Duty®: Warzone™",,,,,,,,,,
"4:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:97","Juegos",,,,,,,69.99,"win","E_TREYARCH","J_CALL_OF_DUTY_R_BLA",3.6,"Call of Duty®: Black Ops 6",,,,,,,,,,
"4:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:98","Juegos",,,,,,,4.99,"win, linux","E_LAST_MINUTE_STUDIO","J_MYSTOPIA",4.36,"Mystopia",,,,,,,,,,
"4:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:99","Juegos",,,,,,,10.49,"win","E_HIKE_INC","J_CONERU_DIMENSION_G",2.39,"CONERU -DIMENSION GIRL-",,,,,,,,,,
"4:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:100","Juegos",,,,,,,0,"win","E_IGG_SINGAPORE_PTE_","J_LORDS_MOBILE",2.75,"Lords Mobile",,,,,,,,,,
"4:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:101","Juegos",,,,,,,1,"win","E_SHLEKS","J_ITALIAN_BRAINROT_I",4.28,"Italian Brainrot: In Prison",,,,,,,,,,
"4:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:102","Juegos",,,,,,,1.99,"win","E_TED_ZUFLE","J_NIGHT_STORE_SIMULA",2.18,"NIGHT STORE SIMULATOR",,,,,,,,,,
"4:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:103","Juegos",,,,,,,0.89,"win","E_YOUR_SISTER","J_YOUR_SISTER",0.85,"Your Sister",,,,,,,,,,
"4:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:104","Juegos",,,,,,,0.89,"win","E_LOVELY_GIRLS_STUDI","J_HAPPY_GIRLS",1.66,"HAPPY girls",,,,,,,,,,
"4:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:105","Juegos",,,,,,,9.49,"win","E_UVULA_LLC","J_TO_A_T",2.1,"to a T",,,,,,,,,,
"4:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:106","Juegos",,,,,,,6.59,"win, linux","E_GAMEBEAST_PRODUCTI","J_HAUNTED_ATTACK_OF_",3.02,"Haunted: Attack of the Dead Men",,,,,,,,,,
"4:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:107","Juegos",,,,,,,2.49,"win","E_ALTAI_ENTERTAINMEN","J_METRO_MINI_MARKET_",2.11,"Metro Mini Market Simulator",,,,,,,,,,
"4:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:108","Juegos",,,,,,,0,"win, mac","E_TFMGRAFOS","J_MICROJUEGO",3.47,"Microjuego","true",,,,,,,,,
"4:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:109","Estudio",,"Valve",,,,,,,"E_VALVE",,,,,,,,,,,,,
"4:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:110","Estudio",,"PUBG Corporation",,,,,,,"E_PUBG_CORPORATION",,,,,,,,,,,,,
"4:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:111","Estudio",,"Pocketpair",,,,,,,"E_POCKETPAIR",,,,,,,,,,,,,
"4:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:112","Estudio",,"Respawn",,,,,,,"E_RESPAWN",,,,,,,,,,,,,
"4:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:113","Estudio",,"Re-Logic",,,,,,,"E_RE_LOGIC",,,,,,,,,,,,,
"4:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:114","Estudio",,"Game Science",,,,,,,"E_GAME_SCIENCE",,,,,,,,,,,,,
"4:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:115","Estudio",,"Infinity Ward",,,,,,,"E_INFINITY_WARD",,,,,,,,,,,,,
"4:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:116","Estudio",,"Treyarch",,,,,,,"E_TREYARCH",,,,,,,,,,,,,
