"~id","~start_node_id","~end_node_id","~relationship_type"
"5:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:1152922604118474840","4:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:88","4:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:109","DESARROLLADO_POR"
"5:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:1152922604118474841","4:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:89","4:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:109","DESARROLLADO_POR"
"5:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:1152922604118474842","4:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:90","4:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:110","DESARROLLADO_POR"
"5:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:1152922604118474843","4:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:91","4:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:109","DESARROLLADO_POR"
"5:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:1152922604118474844","4:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:92","4:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:111","DESARROLLADO_POR"
"5:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:1152922604118474845","4:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:93","4:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:112","DESARROLLADO_POR"
"5:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:1152922604118474846","4:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:94","4:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:113","DESARROLLADO_POR"
"5:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:1152922604118474847","4:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:95","4:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:114","DESARROLLADO_POR"
"5:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:1152922604118474848","4:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:96","4:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:115","DESARROLLADO_POR"
"5:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:1152922604118474849","4:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:97","4:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:116","DESARROLLADO_POR"
"5:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:1152922604118474850","4:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:98","4:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:117","DESARROLLADO_POR"
"5:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:1152922604118474851","4:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:99","4:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:118","DESARROLLADO_POR"
"5:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:1152922604118474852","4:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:100","4:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:119","DESARROLLADO_POR"
"5:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:1152922604118474853","4:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:101","4:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:120","DESARROLLADO_POR"
"5:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:1152922604118474854","4:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:102","4:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:121","DESARROLLADO_POR"
"5:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:1152922604118474855","4:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:103","4:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:122","DESARROLLADO_POR"
